id,sample_accession,accession,study_accession,lineage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019552,SAMEA838046,SAMEA838046,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019553,SAMEA838006,SAMEA838006,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019556,SAMEA837919,SAMEA837919,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019557,SAMEA837916,SAMEA837916,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019558,SAMEA837913,SAMEA837913,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019559,SAMEA837910,SAMEA837910,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019562,SAMEA838053,SAMEA838053,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019564,SAMEA837928,SAMEA837928,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019565,SAMEA838013,SAMEA838013,NA,lineage2.2.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019569,SAMEA837950,SAMEA837950,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019570,SAMEA838011,SAMEA838011,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019571,SAMEA838045,SAMEA838045,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019572,SAMEA838004,SAMEA838004,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019573,SAMEA837898,SAMEA837898,NA,lineage2.2.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019574,SAMEA837894,SAMEA837894,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019575,SAMEA837931,SAMEA837931,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR019860,SAMEA837963,SAMEA837963,NA,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR025833,SAMEA961610,SAMEA961610,PRJEB2221,lineage3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR025834,SAMEA961608,SAMEA961608,PRJEB2221,lineage3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR025835,SAMEA961609,SAMEA961609,PRJEB2221,lineage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR025836,SAMEA961584,SAMEA961584,PRJEB2221,lineage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR025837,SAMEA961583,SAMEA961583,PRJEB2221,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR025838,SAMEA961582,SAMEA961582,PRJEB2221,lineage4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR025839,SAMEA961581,SAMEA961581,PRJEB2221,lineage2.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
